Song_id,Song,Singer,Genre,Album,User-Rating,Emotion,videoID,Thumbnail
1134,Tere Bin,Atif Aslam,BollywoodSad,Bas Ek Pal,9.6,Sad,hejXc_FSYb8,https://img.youtube.com/vi/hejXc_FSYb8/maxresdefault.jpg
1135,Phir Mohabbat,"Arijit Singh, Mohammed Irfan, Saim Bhat",BollywoodSad,Murder 2,8.3,Sad,m1rcse8INWk,https://img.youtube.com/vi/m1rcse8INWk/maxresdefault.jpg
1136,O Heeriye,Ayushman Khurana,BollywoodRomantic,Bewakoofiyan,9.6,Happy,8K2Vz9iQorc,https://img.youtube.com/vi/8K2Vz9iQorc/maxresdefault.jpg
1137,O Heeriye,Ayushman Khurana,BollywoodSad,Bewakoofiyaan,9.6,Sad,8K2Vz9iQorc,https://img.youtube.com/vi/8K2Vz9iQorc/maxresdefault.jpg
1138,Hummein Tummein Jo Tha,"Palak Muchhal, Papon",BollywoodSad,Raaz Reboot,9.2,Sad,eNk9d1V5bDY,https://img.youtube.com/vi/eNk9d1V5bDY/maxresdefault.jpg
1139,Dil Chura Le,"Alka Yagnik, Kumar Sanu",BollywoodRomantic,Dil Ka Rishta,9,Happy,Zs9m-oz90OI,https://img.youtube.com/vi/Zs9m-oz90OI/maxresdefault.jpg
1140,Kaun Hai Jo Sapnon Mein Aaya,Mohammed Rafi,BollywoodRomantic,Jhuk Gaya Aasman,9.2,Happy,2Aq2bKhgUfE,https://img.youtube.com/vi/2Aq2bKhgUfE/maxresdefault.jpg
1141,Mar Jaawan Mit Jaawan,"Abhijeet Sawant, Sunidhi Chauhan",BollywoodDance,Aashiq Banaya Aapne,9,Happy,G1rulK-BePQ,https://img.youtube.com/vi/G1rulK-BePQ/maxresdefault.jpg
1142,Mar Jaawan Mit Jaawan,"Abhijeet Sawant, Sunidhi Chauhan",BollywoodDance,Aashiq Banaya Aapne,9,Happy,G1rulK-BePQ,https://img.youtube.com/vi/G1rulK-BePQ/maxresdefault.jpg
1143,Jhuki Jhuki Si Nazar,Jagjit Singh,BollywoodSad,Arth,9.3,Sad,veLSFpMS6B0,https://img.youtube.com/vi/veLSFpMS6B0/maxresdefault.jpg
1144,Zor Ka Jhatka,"Daler Mehndi, Master Saleem, Richa Sharma",BollywoodDance,Action Replayy,9.4,Happy,qcucgNV7Cmc,https://img.youtube.com/vi/qcucgNV7Cmc/maxresdefault.jpg
1145,I Am A Disco Dancer,Bappi Lahiri,BollywoodDance,Disco Dancer,8.7,Happy,7JdEZoffm-Q,https://img.youtube.com/vi/7JdEZoffm-Q/maxresdefault.jpg
1146,Sufi Salam,Rahat Fateh Ali Khan,BollywoodRomantic,Tishnagi,9.2,Happy,9YEEMB1jfaI,https://img.youtube.com/vi/9YEEMB1jfaI/maxresdefault.jpg
1147,Ishq Samundar,"Himesh Reshammiya, Kanika Kapoor",BollywoodDance,Teraa Surroor,8.9,Happy,o07DP1khU_I,https://img.youtube.com/vi/o07DP1khU_I/maxresdefault.jpg
1148,Na Na Karte Pyar,Alka Yagnik,BollywoodRomantic,Dhadkan,8.8,Happy,z4H1eXbnkKw,https://img.youtube.com/vi/z4H1eXbnkKw/maxresdefault.jpg
1149,Tu Rootha Dil Toota,Kishore Kumar,BollywoodSad,Yaarana,8.7,Sad,2fjnyYpihtk,https://img.youtube.com/vi/2fjnyYpihtk/maxresdefault.jpg
